listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
50236155,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.001,1.0,False,1,False,1,Centrum-West,1.0,1.0,1585.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
50242650,Private room,Private room in condo,0.2,0.11764705882352941,0.002,0.005338078291814947,False,1,False,1,De Baarsjes - Oud-West,3.0,3.0,804.0,0,0.0,4.0,7.0,0,0.0,4.0,7.0,0,0.0,1,2025-12-10,v1
50243968,Entire home/apt,Entire loft,0.06666666666666667,,0.019,0.3238434163701068,False,1,False,1,Centrum-West,1.0,1.0,1616.0,0,0.0,20.0,365.0,0,0.0,20.0,365.0,0,0.0,1,2025-12-10,v1
50254410,Entire home/apt,Entire townhouse,0.06666666666666667,0.058823529411764705,0.001,0.6485765124555161,False,1,False,2,Oud-Noord,1.0,1.0,1272.0,0,0.0,4.0,730.0,0,0.0,4.0,730.0,0,0.0,1,2025-12-10,v1
50273973,Entire home/apt,Entire townhouse,0.06666666666666667,0.11764705882352941,0.013,0.025800711743772242,False,1.5,False,1,De Aker - Nieuw Sloten,0.0,0.0,4358.0,0,0.0,14.0,30.0,0,0.0,14.0,30.0,0,0.0,1,2025-12-10,v1
50278746,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.002,0.6485765124555161,False,1,False,1,De Baarsjes - Oud-West,9.0,9.0,255.0,0,0.0,3.0,730.0,0,0.0,3.0,730.0,0,0.0,1,2025-12-10,v1
50285448,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.001,0.0026690391459074734,False,1.5,True,1,Bos en Lommer,10.0,10.0,203.0,0,0.0,2.0,4.0,0,0.0,2.0,4.0,0,0.0,1,2025-12-10,v1
50286481,Entire home/apt,Entire home,0.2,0.17647058823529413,0.003,0.017793594306049824,False,2,False,1,Noord-Oost,3.0,3.0,232.0,0,0.0,4.0,21.0,0,0.0,4.0,21.0,0,0.0,1,2025-12-10,v1
50321663,Entire home/apt,Entire townhouse,0.2,0.11764705882352941,0.001,1.0,False,1.5,False,1,Watergraafsmeer,6.0,6.0,492.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
50324431,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.001,0.025800711743772242,False,1.5,False,1,Zuid,5.0,5.0,852.0,87,0.9560439560439561,2.0,30.0,31,1.0,2.0,30.0,30,1.0,0,2025-12-10,v1
